="",="(1)",="(2)",="(3)"
="",="price",="price",="price"
="weight",="2.044***",="4.699***",="5.716***"
="",="(5.42)",="(4.19)",="(5.63)"
="length",="",="-97.96*",="-92.48**"
="",="",="(-2.50)",="(-2.75)"
="mpg",="",="",="-13.41"
="",="",="",="(-0.19)"
="foreign",="",="",="3550.2***"
="",="",="",="(5.42)"
="_cons",="-6.707",="10386.5*",="5515.6"
="",="(-0.01)",="(2.41)",="(1.05)"
="N",="74",="74",="74"
="*** 1% ** 5% * 10%"
=""
=""
="Robust check of the main results"
="",="(1)",="(2)",="(3)"
="",="price",="price",="price"
="weight",="2.044***",="4.699***",="5.716***"
="",="(5.24)",="(2.71)",="(3.63)"
="length",="",="-97.960*",="-92.480*"
="",="",="(-1.74)",="(-1.91)"
="mpg",="",="",="-13.407"
="",="",="",="(-0.18)"
="foreign",="",="",="3550.194***"
="",="",="",="(5.53)"
="_cons",="-6.707",="1.0e+04*",="5515.580"
="",="(-0.01)",="(1.85)",="(0.93)"
="r2_a",="0.280",="0.329",="0.523"
="F",="27.506",="18.944",="13.451"
="N",="74",="74",="74"
="t statistics in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="The White(1980) robust regression"
=""
=""
